county,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Walton,136,138,114,118,115,126,123,118,150,140,169,166,267,52,236,246,232,255,195,246,246,222,281,267,314
Ware,18,11,12,7,3,4,3,5,4,1,3,11,23,3,5,4,2,5,10,5,4,7,5,8,8
Warren,16,13,18,11,11,21,25,24,17,21,19,23,17,32,24,21,17,16,17,30,25,21,18,15,23
Washington,58,49,45,64,47,37,43,39,44,55,56,52,46,75,64,41,46,31,55,56,44,47,47,57,58
Wayne,25,17,13,18,9,19,18,10,13,12,16,17,12,14,16,15,15,16,21,23,18,20,24,23,23
Webster,3,2,3,4,7,1,2,4,6,2,3,1,5,0,5,2,6,2,4,0,2,1,1,3,4
Wheeler,5,7,9,11,2,5,7,5,4,4,6,5,6,3,6,2,6,5,3,4,4,5,7,6,9
White,31,38,42,38,41,34,27,31,29,18,25,28,25,30,20,27,15,15,19,22,17,20,26,17,18
Whitfield,201,192,184,136,148,119,128,119,134,127,114,99,101,135,102,127,122,103,99,97,89,103,106,97,92
Wilcox,13,21,16,15,10,9,7,14,11,15,11,6,11,19,6,5,10,6,5,6,8,7,11,5,12
Wilkes,13,26,31,17,24,28,24,25,26,21,29,35,24,20,31,26,32,29,28,26,15,20,21,25,32
Wilkinson,27,33,33,38,24,26,18,26,22,27,28,16,23,30,27,17,20,18,23,23,24,20,12,13,14
Worth,18,28,22,30,28,13,17,26,12,16,13,13,10,9,20,10,19,12,11,8,10,9,6,9,10
GEORGIA TOTAL,"33,516","32,369","32,417","32,158","29,238","29,942","28,891","30,064","30,432","30,396","28,628","28,015","27,642","29,415","32,066","30,330","31,315","29,558","28,036","27,456","26,485","26,612","29,551","27,453","28,544"
