county,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Madison,787,761,772,740,731,561,539,602,642,594,523,595,586,593,516,527,446,480,401,387,389,391,393,494
Marion,81,74,85,102,?,?,?,60,63,56,64,57,?,52,72,57,56,58,?,?,?,?,?,57
Marshall,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Mason,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Massac,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
McDonough,103,106,89,76,78,78,?,?,52,?,?,?,?,55,?,?,?,?,?,?,?,?,?,?
McHenry,404,442,390,430,560,548,510,490,451,462,486,531,564,562,506,483,442,486,444,392,361,360,326,396
McLean,440,487,429,385,330,370,326,328,333,277,280,352,267,313,246,220,255,263,241,268,255,229,317,332
Menard,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Mercer,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Monroe,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Montgomery,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Morgan,69,85,58,73,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Moultrie,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Ogle,88,93,69,95,80,92,84,69,74,52,57,?,56,69,86,68,60,59,?,55,?,51,51,58
Peoria,676,764,702,644,494,548,435,537,561,497,498,542,478,666,569,433,423,553,480,392,391,472,462,585
Perry,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Piatt,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Pike,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Pope,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Pulaski,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Putnam,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Randolph,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Richland,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Rock Island,116,90,102,120,78,58,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,75,127
Saint Clair,"1,049","1,013","1,099","1,057",965,757,756,815,759,748,673,705,793,907,732,706,637,676,598,634,591,519,558,684
Saline,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Sangamon,426,476,471,449,382,337,342,362,364,358,293,357,358,358,299,269,379,314,286,304,310,319,348,451
Schuyler,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Scott,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Shelby,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Stark,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Stephenson,53,62,77,89,77,79,98,74,65,52,?,74,?,55,56,?,?,?,?,?,?,?,?,?
Tazewell,279,304,286,243,210,228,206,199,175,196,180,213,145,229,184,154,149,152,154,133,131,197,216,200
Union,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Vermilion,152,211,170,181,150,156,131,110,121,118,131,112,124,107,101,70,92,72,123,123,117,65,139,152
Wabash,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Warren,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Washington,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,78,?,?,?,?,?
Wayne,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
White,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
Whiteside,80,90,92,92,85,55,62,60,52,?,?,?,?,?,?,?,?,?,?,?,?,?,?,62
Will,568,710,727,429,500,549,897,986,925,985,971,892,953,"1,161","1,532","1,480","1,377","1,538","1,460","1,267","1,299","1,202","1,079","1,345"
Williamson,72,91,112,97,?,?,?,74,55,67,60,75,76,74,86,77,76,55,61,59,?,65,?,?
Winnebago,769,815,852,782,735,798,800,701,631,584,528,642,623,593,511,555,472,390,331,338,331,288,350,482
Woodford,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
PROTECTED,"4,185","3,223","3,427","3,309","4,312","4,598","5,991","6,709","5,942","5,860","6,011","6,901","5,887","4,835","4,024","3,738","3,489","3,871","3,258","2,258","2,666","2,589","3,049","2,535"
ILLINOIS TOTAL,"48,529","49,457","46,121","44,815","41,509","40,754","41,523","42,655","38,700","40,023","38,409","40,412","39,291","42,703","41,307","38,622","37,922","39,849","37,230","33,247","34,498","32,663","32,832","36,713"
NONRESIDENTS,"3,575","3,859","3,916","4,517","4,294","4,852","4,488","4,207","3,497","3,400","3,317","3,940","4,042","3,903","3,624","3,050","3,139","3,138","3,189","2,970","3,210","4,543","5,528","5,668"
UNKNOWN,196,297,110,71,121,278,535,83,31,114,"1,683","2,115","1,965","1,111","1,146",187,263,216,331,"2,255","2,148","1,176",969,60
TOTAL,"52,300","53,613","50,147","49,403","45,924","45,884","46,546","46,945","42,228","43,537","43,409","46,467","45,298","47,717","41,307","41,859","41,324","43,203","40,750","38,472","39,856","38,382","39,329","42,441"
