county,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Galveston,853,902,"1,012",861,854,596,720,695,770,633,685,751,759,741,840,741,751,724,781,713,746,737,676,663
Garza,4,4,5,7,12,7,6,6,10,10,9,10,4,5,5,2,7,2,3,1,2,2,3,0
Gillespie,27,31,25,22,29,34,24,21,21,22,19,36,35,24,30,31,28,37,29,31,21,24,7,26
Glasscock,3,4,8,4,4,1,1,1,1,1,0,0,1,2,1,0,2,0,1,1,0,0,1,2
Goliad,17,6,11,9,11,4,7,12,11,9,18,10,11,9,8,9,6,4,6,6,6,4,4,6
Gonzales,29,35,31,35,36,31,23,37,40,44,52,40,23,36,36,23,37,41,32,34,27,18,11,27
Gray,33,36,26,27,33,18,28,22,19,21,11,15,26,12,11,22,20,13,10,8,14,13,6,10
Grayson,245,244,237,226,250,216,188,220,167,170,178,212,186,180,227,184,237,223,194,150,142,158,117,158
Gregg,112,91,97,96,129,122,107,109,122,119,114,112,96,110,132,134,104,108,111,88,59,194,172,89
Grimes,36,38,41,37,41,40,41,43,46,52,41,38,52,48,44,55,40,34,33,41,25,33,32,45
Guadalupe,140,159,160,162,167,172,205,187,171,160,162,186,179,186,181,193,189,214,189,182,155,171,150,168
Hale,60,61,65,54,66,54,62,44,35,50,49,43,43,46,43,39,48,38,34,26,16,18,7,14
Hall,11,5,2,6,2,6,5,4,5,4,5,1,2,3,5,5,2,3,4,2,0,2,1,0
Hamilton,9,15,16,13,15,9,17,11,7,11,8,7,11,15,7,13,16,8,10,5,3,12,3,4
Hansford,4,4,8,6,8,1,6,3,3,4,2,4,2,1,3,3,2,1,2,0,1,0,0,2
Hardeman,13,3,4,9,4,2,6,1,5,1,9,5,10,12,6,7,4,9,8,9,4,7,14,2
Hardin,56,124,117,99,79,69,73,109,117,97,81,101,85,95,121,114,104,97,52,83,30,71,51,42
Harris,"25,449","25,582","24,858","22,062","24,822","22,562","19,939","17,864","18,263","18,656","17,174","17,233","17,247","18,973","19,987","17,956","18,107","18,447","18,914","17,633","17,007","15,907","14,785","14,311"
Harrison,28,34,33,37,24,27,30,32,36,23,30,21,22,17,21,30,14,11,21,16,13,101,76,46
Hartley,10,10,19,14,11,8,2,1,3,5,3,3,3,3,2,2,4,1,0,2,1,0,0,0
Haskell,11,9,10,4,3,7,11,7,7,4,8,5,6,5,3,14,13,3,4,5,0,4,2,1
Hays,348,365,347,404,362,336,282,395,243,412,373,340,343,355,438,418,384,399,432,445,461,448,433,452
Hemphill,5,4,4,6,8,2,3,0,2,4,5,1,0,6,7,4,4,2,2,2,2,1,0,2
Henderson,124,117,159,118,148,131,113,141,118,116,94,123,107,98,106,98,116,84,74,79,74,79,69,50
Hidalgo,"1,167","1,188","1,234","1,079","1,115",970,838,884,"1,141","1,524","1,424","1,419","1,320","1,629","1,655","1,662","1,838","1,691","1,859","1,706","1,384","1,211",507,"1,111"
Hill,65,68,66,63,69,53,54,41,56,52,41,64,65,55,46,60,53,53,40,42,39,34,35,20
Hockley,52,55,55,46,67,53,33,39,33,40,39,54,18,43,44,18,28,25,26,30,19,14,16,16
Hood,89,106,115,115,99,70,79,61,80,50,38,53,62,44,68,68,62,58,92,67,56,54,41,39
Hopkins,52,43,54,55,65,61,53,41,38,37,25,27,51,39,41,56,46,44,41,24,28,28,13,24
Houston,19,25,30,27,17,25,14,99,87,66,101,43,17,16,177,"1,075",825,5,2,2,6,51,10,21
Howard,93,37,61,79,47,57,59,47,35,48,43,34,47,47,42,50,42,45,26,30,22,28,23,29
Hudspeth,106,101,132,9,4,1,0,2,0,3,2,3,4,2,4,2,3,2,0,2,1,6,2,0
Hunt,186,178,170,176,221,167,141,186,128,143,147,157,148,138,165,157,142,111,107,109,101,122,66,89
Hutchinson,42,32,36,23,33,44,36,26,15,9,27,25,12,20,28,27,21,18,18,7,10,12,1,9
Irion,9,12,4,3,7,2,4,1,0,1,0,3,1,1,2,5,0,2,5,1,1,2,1,1
Jack,20,5,14,23,11,10,15,17,10,6,10,11,10,6,11,4,9,6,4,10,6,4,4,6
Jackson,71,74,64,47,44,18,20,45,44,31,29,31,31,28,23,24,12,13,13,16,20,14,14,17
Jasper,74,98,63,80,50,47,66,58,71,60,66,92,77,54,70,50,70,53,77,42,76,50,44,26
Jeff Davis,13,4,3,4,4,5,1,3,2,6,3,9,4,3,3,3,5,1,2,3,0,0,1,2
Jefferson,"1,225",952,830,759,767,614,652,758,711,562,595,617,549,592,592,646,736,739,746,710,709,605,462,456
Jim Hogg,14,19,12,17,27,10,6,11,8,9,7,12,2,15,6,11,14,11,17,3,6,11,6,7
Jim Wells,123,85,130,127,101,86,61,124,99,95,109,111,91,101,98,112,134,108,101,51,88,91,62,66
Johnson,230,272,265,264,255,252,251,238,252,200,216,252,254,244,272,289,286,275,245,236,197,226,153,166
Jones,18,17,26,38,38,28,28,35,35,17,21,19,22,25,24,19,14,10,15,14,9,3,6,9
Karnes,30,26,23,22,19,15,16,17,19,29,20,17,21,26,17,17,14,29,23,19,20,14,14,21
Kaufman,177,147,144,145,127,146,130,149,156,132,169,177,159,175,184,176,172,192,196,198,165,204,162,154
Kendall,42,44,47,44,37,46,42,49,27,31,21,52,56,43,56,43,42,57,49,39,25,32,37,35
Kenedy,0,4,7,1,1,1,2,3,0,0,1,2,0,1,0,2,1,0,1,1,0,3,0,2
Kent,1,3,3,0,5,4,2,3,2,7,1,1,0,0,0,0,0,0,1,0,1,0,0,0
Kerr,100,80,72,83,85,86,85,82,87,74,63,83,89,92,77,77,109,97,94,78,70,62,41,54
Kimble,8,5,7,8,9,8,9,7,4,5,9,11,5,4,7,3,5,4,3,5,6,2,1,4
King,2,4,4,2,1,0,1,1,3,1,0,2,0,2,2,2,0,2,1,0,3,0,0,0
Kinney,1,2,3,5,5,5,4,3,5,1,6,5,5,1,3,4,2,3,4,4,4,1,1,2
Kleberg,171,147,154,163,131,123,110,137,111,88,116,104,98,98,109,98,123,109,100,49,81,63,42,62
Knox,10,12,5,4,3,10,3,8,4,2,5,1,1,1,4,3,9,2,3,1,5,2,3,1
La Salle,12,10,8,13,7,7,8,10,7,11,17,15,9,15,12,17,22,17,13,18,21,11,2,14
Lamar,146,172,107,102,109,97,68,79,70,76,88,57,65,52,82,60,37,43,64,47,58,56,56,32
Lamb,19,14,14,18,17,10,8,11,10,12,14,11,11,16,13,15,11,6,9,10,6,3,2,2
Lampasas,53,32,37,37,40,37,30,34,29,30,37,32,19,23,35,16,22,25,9,15,30,30,19,22
Lavaca,21,24,18,20,14,23,19,13,31,11,19,16,17,22,18,22,18,19,25,16,18,16,10,7
Lee,37,28,22,34,30,20,27,24,21,33,34,17,26,37,34,27,22,32,20,30,40,20,22,22
Leon,20,32,30,24,26,15,18,25,14,18,22,23,20,15,26,18,16,18,15,16,15,14,14,7
Liberty,108,110,119,115,136,85,81,97,101,105,115,76,88,104,127,136,122,127,123,96,82,94,95,117
Limestone,39,47,49,48,60,55,50,48,36,48,48,45,42,38,50,51,62,59,61,47,47,37,26,19
Lipscomb,4,5,3,2,3,0,2,4,2,2,0,0,0,2,2,3,1,3,0,0,1,0,1,0
Live Oak,35,14,15,34,16,33,33,15,24,18,12,12,17,17,14,16,17,16,19,7,14,14,3,8
Llano,24,19,21,24,16,16,18,12,21,17,21,13,12,21,21,16,9,23,18,17,16,15,10,11
Loving,0,2,3,1,1,2,1,2,1,1,0,2,1,0,15,21,3,0,0,3,0,0,0,0
Lubbock,903,971,883,891,923,842,711,689,675,638,743,652,634,697,694,604,638,627,528,503,506,346,235,346
Lynn,9,13,9,8,12,8,11,8,8,4,4,5,8,6,14,8,7,6,7,1,3,2,1,3
Madison,43,23,42,24,19,15,16,17,21,25,23,22,22,9,20,6,2,7,5,9,5,16,10,16
Marion,18,9,10,16,8,8,4,3,3,3,6,3,7,5,2,7,4,4,0,5,8,8,14,11
Martin,29,53,61,63,17,5,5,14,4,7,2,5,2,6,8,6,8,4,3,4,3,3,2,5
Mason,3,5,2,5,3,3,3,7,2,6,6,0,4,1,2,2,3,2,6,2,2,2,1,3
Matagorda,85,110,80,67,87,47,46,60,72,36,44,46,54,61,55,46,43,35,102,35,37,50,47,50
Maverick,60,14,12,18,38,53,63,37,52,74,48,57,51,35,57,49,66,51,74,74,61,54,31,60
McCulloch,20,19,13,4,16,11,8,11,4,7,14,7,5,13,18,9,21,15,18,16,19,14,5,5
McLennan,634,582,678,694,708,675,625,632,555,633,659,639,648,610,701,657,637,607,577,559,472,405,310,288
McMullen,19,4,7,3,2,2,2,6,1,3,2,4,3,1,1,1,1,1,3,1,6,1,0,2
Medina,79,44,60,79,51,80,61,70,72,68,62,84,84,66,78,78,84,86,65,57,46,68,42,48
Menard,11,10,9,8,4,2,2,5,3,3,1,2,1,3,1,2,3,6,6,2,2,2,1,1
Midland,293,315,326,353,327,315,290,326,270,268,211,232,264,269,271,283,310,312,224,188,197,230,146,160
Milam,48,27,25,36,60,46,45,50,28,53,54,41,24,37,34,33,61,29,35,38,32,29,23,23
Mills,6,5,3,7,1,7,3,0,12,3,5,3,0,1,1,1,1,6,2,5,8,3,5,5
Mitchell,9,7,7,7,12,13,9,3,13,9,7,14,4,10,14,5,11,9,6,12,13,6,5,5
Montague,19,19,30,23,25,25,21,18,22,16,15,11,13,26,18,22,20,21,7,16,18,12,17,10
Montgomery,603,642,597,613,614,421,515,500,558,502,563,523,627,643,763,680,661,565,689,647,615,625,631,705
Moore,31,29,33,28,35,25,28,27,30,16,14,18,14,16,23,17,18,24,35,31,14,13,2,10
Morris,24,18,12,15,21,24,22,17,7,20,17,15,12,8,14,16,13,12,10,17,4,12,9,5
Motley,3,5,3,5,3,2,0,1,2,3,3,4,1,1,3,3,0,3,1,1,1,0,0,0
Nacogdoches,186,203,154,127,128,109,106,113,113,95,111,102,120,111,122,134,96,110,86,98,81,97,106,73
Navarro,112,118,92,99,115,81,83,112,75,92,91,84,83,73,106,83,95,84,65,59,53,60,54,51
Newton,13,31,21,24,24,20,11,28,23,16,16,9,4,8,11,27,9,18,14,18,6,16,13,10
Nolan,27,37,39,36,24,25,28,28,15,10,18,17,16,23,14,24,10,14,16,17,14,13,7,9
Nueces,"1,686","1,509","1,709","1,665","1,646","1,567","1,486","1,481","1,300","1,018","1,347","1,259","1,130","1,115","1,055","1,253","1,212","1,161","1,227","1,256",789,740,642,662
Ochiltree,27,23,23,22,20,21,11,9,6,2,1,5,6,16,9,3,11,5,5,9,11,3,2,3
Oldham,4,2,3,4,3,4,2,3,1,3,1,2,2,0,2,2,0,1,2,1,1,0,0,0
Orange,105,212,221,209,170,133,168,185,176,127,111,148,122,136,149,136,130,136,125,121,150,132,114,89
Palo Pinto,62,61,51,59,74,45,56,46,38,10,39,27,49,36,29,43,37,36,27,31,36,34,28,19
Panola,11,12,6,12,12,8,6,2,6,6,5,11,7,3,4,9,3,3,6,6,3,23,23,17
Parker,164,236,241,221,221,161,159,170,171,74,116,197,177,167,191,201,173,190,198,131,145,115,109,115
Parmer,21,19,13,14,28,13,4,3,2,7,24,6,8,11,4,8,7,4,5,7,4,3,0,5
Pecos,9,3,8,30,38,28,26,37,12,12,14,19,21,10,20,19,25,27,17,15,13,14,10,14
Polk,53,51,55,56,62,28,37,32,40,33,51,27,44,47,38,50,41,56,46,59,45,42,46,35
Potter,344,327,340,327,369,343,323,287,188,190,190,187,206,225,172,209,175,197,163,139,153,100,20,121
Presidio,4,0,1,3,5,7,4,4,1,4,7,4,6,4,6,6,6,6,11,3,8,6,2,2
Rains,6,15,4,7,6,11,7,12,12,9,16,12,11,7,12,15,12,13,10,8,7,7,10,2
Randall,254,291,308,276,300,233,225,252,192,181,183,188,145,162,168,152,158,151,144,139,113,74,21,113
Reagan,4,4,4,4,4,4,7,7,4,2,4,5,7,5,8,5,3,6,4,3,4,4,2,2
Real,2,3,4,3,6,3,7,1,8,5,5,2,5,2,1,3,5,8,9,4,3,4,0,5
Red River,31,33,23,20,32,21,16,25,17,16,10,13,14,13,12,16,11,8,13,14,12,12,2,9
Reeves,11,10,19,19,20,22,8,10,14,9,11,15,8,16,15,23,15,20,8,8,6,9,5,4
Refugio,17,15,14,22,8,11,8,10,13,17,15,10,15,24,16,14,11,12,8,6,7,5,2,4
Roberts,3,3,1,1,2,2,2,1,0,2,0,1,,0,0,0,1,1,0,1,0,1,1,0
Robertson,27,26,20,39,26,18,17,21,18,31,33,25,31,26,30,21,35,20,15,21,18,15,15,17
Rockwall,101,80,74,66,75,71,88,81,70,87,99,109,104,115,150,143,139,139,130,120,86,128,127,92
Runnels,12,7,6,6,18,9,6,7,15,10,16,16,11,16,7,12,8,11,13,8,6,6,3,2
Rusk,33,46,41,33,44,47,40,38,19,36,32,34,26,34,43,33,33,26,27,34,24,56,39,24
Sabine,6,10,17,9,14,3,9,10,10,10,8,7,6,2,11,8,13,6,12,9,6,6,3,8
San Augustine,7,7,6,5,2,4,7,4,3,5,3,5,5,5,5,7,6,9,5,7,5,3,1,2
San Jacinto,21,29,26,17,21,20,26,18,22,19,22,14,19,26,29,25,27,26,20,33,25,16,24,36
San Patricio,153,122,158,178,177,145,178,168,140,147,178,148,126,167,181,171,118,119,122,58,87,70,42,71
San Saba,8,7,5,13,9,6,7,6,6,10,10,10,11,1,4,4,2,3,5,4,3,1,4,8
Schleicher,5,2,5,7,1,3,2,4,4,1,6,3,2,3,2,4,4,0,1,3,2,0,0,0
Scurry,18,23,23,39,50,31,37,34,20,20,19,33,15,18,22,23,20,18,13,11,18,18,12,10
Shackelford,9,7,6,5,0,2,1,3,3,1,1,2,1,2,3,6,4,2,2,3,3,1,2,4
Shelby,10,3,9,4,9,9,4,6,8,4,7,6,5,3,5,4,5,15,11,6,5,32,21,10
Sherman,10,5,9,9,10,12,21,18,22,13,32,23,22,17,8,12,13,15,9,5,4,4,1,0
Smith,501,453,472,369,410,437,346,349,332,306,333,350,354,356,408,377,424,418,418,342,307,"4,010",316,290
Somervell,15,13,18,23,16,12,12,17,8,4,9,10,10,9,7,11,11,7,18,10,11,5,6,7
Starr,71,64,70,58,70,56,42,57,53,66,76,81,69,65,84,101,79,98,85,105,75,61,14,47
Stephens,14,22,32,23,25,25,8,25,24,5,12,6,17,16,20,19,16,13,6,9,8,8,7,5
Sterling,0,3,1,1,1,2,3,1,0,3,2,2,2,1,1,1,0,0,0,0,1,2,2,0
Stonewall,3,4,2,1,0,2,0,3,0,14,0,1,2,1,1,3,3,2,0,1,2,1,0,0
Sutton,9,3,9,7,7,8,10,5,7,6,12,13,4,4,4,10,12,9,5,4,6,5,1,1
Swisher,14,18,20,12,11,14,12,11,9,5,10,9,9,11,7,7,9,6,5,4,3,4,1,0
Tarrant,"6,991","7,921","8,160","8,403","8,715","6,640","6,421","5,967","5,977","4,868","5,171","6,399","5,915","5,771","6,224","6,257","6,090","5,678","5,852","5,193","4,576","5,157","4,096","4,160"
Taylor,273,269,195,190,313,239,189,229,194,133,159,189,210,177,227,202,247,214,238,176,150,176,106,122
Terrell,12,12,17,11,10,9,17,14,25,20,27,29,22,16,16,12,8,11,2,5,14,5,4,2
Terry,27,19,22,24,23,19,27,19,12,19,19,17,13,11,6,10,8,16,8,3,12,6,2,6
Throckmorton,3,12,21,12,10,1,3,3,3,1,0,2,0,2,3,3,2,2,2,3,1,1,1,2
Titus,51,50,42,55,74,74,76,76,54,50,41,42,37,49,35,84,50,52,40,34,26,39,30,28
Tom Green,349,291,301,288,300,308,260,256,259,211,213,196,192,184,212,216,258,224,181,169,180,134,114,135
Travis,"4,051","4,332","3,885","4,098","4,168","4,434","4,074","4,809","4,427","4,910","4,501","4,141","3,941","3,907","3,748","3,675","3,660","3,621","3,938","4,399","4,058","3,579","3,579","3,412"
Trinity,23,19,24,19,17,13,14,18,20,15,11,21,18,13,19,17,10,9,3,14,15,8,8,10
Tyler,25,34,64,82,87,65,29,82,71,99,141,122,86,55,81,68,48,55,29,56,41,34,19,12
Upshur,24,27,18,18,27,25,26,17,25,27,25,19,21,28,22,22,31,21,16,12,8,31,30,22
Upton,3,1,2,2,8,3,5,8,3,0,5,0,1,9,12,4,4,6,1,1,1,1,0,1
Uvalde,58,48,58,54,43,60,47,53,54,63,52,64,82,56,79,55,47,46,49,42,40,47,21,33
Val Verde,123,99,80,102,108,92,96,73,93,98,65,78,84,67,86,70,74,88,76,61,55,47,37,28
Van Zandt,53,70,74,56,80,60,63,85,43,64,69,57,55,68,69,61,66,67,62,35,51,50,50,33
Victoria,167,152,159,179,176,144,119,130,153,128,167,158,169,149,162,169,141,135,129,104,120,129,105,133
Walker,224,257,201,202,169,101,169,163,153,138,144,146,167,152,172,151,136,172,200,126,148,160,139,180
Waller,151,117,123,128,132,81,88,93,84,86,84,84,104,102,111,78,90,84,99,100,93,79,86,77
Ward,20,13,42,24,18,24,11,10,10,8,11,4,9,9,23,17,18,11,11,4,14,7,3,6
Washington,71,57,64,72,83,54,61,61,44,56,56,61,69,54,69,68,61,54,50,60,57,54,46,52
Webb,885,762,846,822,775,688,708,720,563,865,627,631,435,425,395,356,357,378,359,295,231,256,164,221
Wharton,75,76,61,55,52,48,55,34,57,40,56,54,61,72,72,56,52,58,80,77,65,68,75,66
Wheeler,5,9,5,11,6,4,5,4,4,6,0,6,2,6,14,4,2,2,13,4,2,0,1,4
Wichita,337,386,359,360,396,357,311,272,223,213,264,266,260,243,239,236,224,184,203,193,178,194,155,143
Wilbarger,31,21,23,32,24,20,20,13,27,18,27,22,23,24,29,25,18,17,16,15,14,16,16,9
Willacy,52,39,48,51,43,40,51,39,31,44,51,44,42,39,48,51,49,45,31,37,23,26,13,13
Williamson,495,472,524,592,733,584,557,668,484,711,801,768,700,714,860,834,805,874,895,890,883,849,821,764
Wilson,53,44,28,42,55,49,33,42,55,47,47,74,63,64,97,100,100,90,71,63,47,44,47,58
Winkler,5,9,5,12,14,16,13,11,10,6,14,9,12,7,9,16,10,19,8,6,12,8,5,10
Wise,73,57,75,88,77,65,68,75,67,55,57,42,68,50,77,87,87,78,91,76,80,74,53,43
