county,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Greensville,20,14,29,20,31,6,10,4,3,5,9,5,14,6,9,16,5,4,4,3,41,12,6,18
Halifax,126,119,134,115,135,106,104,64,80,96,80,91,67,57,66,80,13,13,14,15,15,14,3,71
Hampton (ind. city),763,909,882,831,819,821,666,754,762,776,833,823,849,879,815,738,717,691,549,601,597,529,501,528
Hanover,201,207,207,220,225,236,217,218,272,286,264,233,215,211,208,187,197,169,200,176,135,101,68,145
Harrisonburg (ind. city),95,79,58,65,77,133,105,91,86,81,100,112,116,105,115,103,115,93,106,67,115,87,28,58
Henrico,"1,100","1,032","1,244","1,391","1,333","1,127",760,"1,011",611,638,753,877,662,616,585,548,597,477,673,722,613,453,323,489
Henry,199,178,162,176,98,64,46,46,77,81,65,69,103,56,90,89,12,20,17,15,18,13,6,78
Highland,2,4,0,1,1,1,1,2,0,4,0,1,1,1,1,1,2,1,1,1,3,1,1,0
Hopewell (ind. city),98,125,119,103,130,137,112,133,131,145,127,148,128,154,153,104,101,104,107,90,94,91,60,81
Isle of Wight,63,64,69,65,92,74,62,66,54,67,81,84,90,70,90,81,60,63,71,53,56,25,41,42
James City,90,83,45,36,73,41,32,18,15,17,63,34,24,64,52,43,34,31,24,16,78,12,66,58
King and Queen,10,18,17,20,17,12,14,15,13,14,12,17,8,19,17,17,14,12,11,10,8,4,10,7
King George,41,46,45,46,49,46,42,45,51,41,37,62,47,51,52,42,50,52,31,24,35,31,24,28
King William,33,34,35,35,39,33,29,32,28,33,49,48,37,39,26,29,36,26,34,27,26,25,12,32
Lancaster,29,34,32,24,31,28,20,20,29,46,31,23,25,32,15,19,16,15,21,9,20,16,8,13
Lee,22,20,5,3,1,3,0,1,2,1,0,8,6,5,12,0,2,4,3,0,0,0,0,2
Lexington (ind. city),15,18,9,10,18,13,17,19,25,26,13,13,15,9,11,11,18,14,18,16,14,5,8,9
Loudoun,401,391,404,433,482,517,501,487,501,507,579,681,681,742,709,682,600,579,455,568,482,375,396,382
Louisa,63,69,73,57,66,66,57,58,61,87,69,72,59,57,60,76,83,66,51,44,33,32,25,32
Lunenburg,27,31,34,26,33,20,20,21,26,27,21,16,25,20,17,19,16,18,10,9,18,11,7,10
Lynchburg (ind. city),307,321,288,286,246,233,228,237,253,250,236,257,249,214,249,243,250,207,176,176,173,114,128,142
Madison,21,21,18,12,20,25,18,14,16,21,22,22,22,21,16,29,25,23,18,20,16,12,2,9
Manassas (ind. city),87,144,219,258,436,489,454,496,563,503,630,605,643,662,640,609,577,506,491,462,112,75,60,128
Manassas Park (ind. city),7,8,9,19,43,120,67,20,13,13,13,16,12,23,30,13,28,59,8,15,7,6,10,28
Martinsville (ind. city),27,28,30,26,99,69,45,63,103,87,71,94,31,26,29,12,29,12,13,19,18,18,15,24
Mathews,15,18,9,14,14,13,16,8,13,16,17,11,16,11,8,19,10,10,9,9,4,1,4,7
Mecklenburg,93,97,88,91,86,87,76,63,67,86,73,73,83,55,86,84,32,37,24,21,25,24,12,62
Middlesex,18,18,27,22,21,25,22,18,19,23,18,19,16,22,13,17,22,15,17,13,16,19,18,15
Montgomery,342,301,301,278,239,211,230,207,191,183,171,153,177,151,147,155,136,150,124,130,112,98,104,82
Nelson,49,51,37,39,40,51,39,32,42,30,31,19,18,17,18,19,23,15,35,24,19,8,4,10
New Kent,36,45,38,41,41,53,36,40,35,35,38,50,36,38,45,44,41,44,45,36,38,15,16,30
Newport News (ind. city),"1,005","1,064","1,061","1,062","1,026","1,081",903,935,908,"1,003","1,227","1,245","1,191","1,170","1,229","1,102",964,888,908,747,744,719,740,758
Norfolk (ind. city),"1,564","1,724","1,719","1,703","1,687","1,699","1,497","1,686","1,720","1,890","1,871","1,864","1,807","1,817","1,598","1,604","1,460","1,343","1,297","1,198","1,177","1,100","1,057",986
Northampton,16,25,19,30,45,18,30,35,30,38,29,31,29,39,27,26,37,16,22,17,22,8,23,19
Northumberland,25,15,22,23,25,19,19,21,22,23,23,20,26,25,21,25,24,15,14,14,18,14,10,10
Norton (ind. city),2,0,1,0,2,6,3,1,2,1,2,7,1,2,1,0,2,4,1,0,4,1,1,2
Nottoway,37,35,39,37,54,50,44,47,36,40,48,51,44,43,40,37,31,32,45,38,33,16,16,19
Orange,84,95,82,74,68,71,80,61,57,62,61,89,71,70,81,80,64,83,76,74,63,40,33,34
Page,33,33,29,34,33,34,40,30,20,27,33,18,34,35,30,22,27,20,17,25,27,4,8,9
Patrick,33,23,27,27,19,10,15,9,18,17,12,17,13,12,13,10,4,4,5,6,5,3,1,8
Petersburg (ind. city),288,296,344,341,283,363,284,312,326,x,328,374,356,335,324,312,310,290,289,269,212,258,147,222
Pittsylvania,211,242,175,216,94,87,56,52,90,80,69,90,151,49,214,158,15,19,18,25,22,14,17,85
Poquoson (ind. city),28,16,31,25,24,30,19,13,12,20,27,20,23,26,17,28,17,23,13,16,6,16,19,11
Portsmouth (ind. city),429,530,501,473,515,527,460,565,534,612,575,626,676,604,625,569,559,495,487,441,468,461,396,392
Powhatan,37,35,49,61,41,28,25,33,38,51,52,50,41,43,33,29,43,41,34,20,21,25,21,22
Prince Edward,64,77,79,74,64,57,67,64,60,81,71,78,51,44,51,38,43,53,42,40,34,37,20,27
Prince George,95,95,97,100,104,106,89,87,83,104,90,83,82,80,79,75,90,65,56,60,64,67,31,74
Prince William,"1,326","1,136","1,100","1,155","1,122","1,073",953,955,951,811,819,"1,019","1,200","1,352","1,281","1,275","1,155","1,062",933,879,"1,018","1,008",911,761
Pulaski,57,51,60,46,62,41,32,36,42,46,32,47,41,34,41,28,22,31,23,32,19,21,23,26
Radford (ind. city),98,106,109,77,69,91,84,96,82,81,79,75,72,63,48,55,64,46,54,44,49,33,38,39
Rappahannock,20,35,21,15,14,27,34,12,181,24,16,28,26,29,15,15,26,12,18,12,8,1,2,0
Richmond,21,12,28,15,20,17,21,15,15,20,18,25,15,17,10,21,20,20,16,13,13,16,13,13
Richmond (ind. city),"1,355","1,663","1,675","1,573","1,575","1,966","1,736","1,803","2,807","2,943","2,666","2,736","2,476","2,882","2,694","2,421","2,492","2,136","2,053","1,930","1,850","1,618","1,025","1,528"
Roanoke,131,70,71,81,201,174,337,259,283,169,172,71,84,105,189,242,270,193,352,265,69,52,26,94
Roanoke (ind. city),579,648,551,481,389,388,227,319,278,423,485,587,545,451,456,310,220,312,101,164,376,347,263,247
Rockbridge,39,36,59,42,20,23,15,10,13,13,14,19,10,12,8,11,11,5,5,4,5,5,5,9
Rockingham,120,125,135,140,93,112,63,67,51,45,52,46,36,55,70,60,71,87,62,90,51,21,13,21
Russell,19,22,3,6,2,3,5,2,1,4,4,12,7,2,7,2,0,4,3,0,1,2,0,2
Salem (ind. city),82,97,99,100,72,93,91,93,81,71,61,84,79,80,68,67,73,55,53,49,58,54,47,42
Scott,12,18,5,3,1,1,1,0,1,2,1,6,3,9,4,1,0,4,3,0,0,0,1,1
Shenandoah,40,45,32,23,32,34,34,15,22,27,16,36,23,27,29,37,43,29,26,37,28,27,14,23
Smyth,36,42,13,6,9,5,9,5,8,18,22,18,16,16,11,11,24,10,8,10,6,4,2,8
Southampton,19,24,26,19,32,30,13,19,20,22,22,35,33,20,17,24,13,20,20,23,19,15,17,17
Spotsylvania,181,214,166,178,207,122,157,134,119,128,123,128,171,162,142,189,127,120,121,138,107,96,88,108
Stafford,253,229,228,214,258,207,253,240,219,177,185,223,254,305,284,239,238,212,181,186,177,168,148,138
Staunton (ind. city),55,68,35,32,39,68,55,23,45,48,36,47,47,36,39,39,44,29,51,28,44,45,10,15
Suffolk (ind. city),157,199,202,154,200,213,217,241,238,355,306,285,301,297,309,275,275,292,240,292,246,227,254,209
Surry,16,11,15,14,14,18,15,15,17,20,19,19,13,21,20,20,28,12,9,22,14,13,6,8
Sussex,28,40,34,29,33,43,23,30,37,27,27,39,36,21,28,39,26,19,23,25,21,18,12,12
Tazewell,33,35,7,13,15,16,15,20,17,16,13,36,35,25,33,23,21,10,15,12,14,5,8,5
Virginia Beach (ind. city),"2,137","2,236","2,385","2,214","2,398","2,396","2,208","2,287","3,346","2,522","2,487","2,353","2,426","2,307","2,344","2,161","2,056","1,925","1,672","1,609","1,482","1,505","1,421","1,460"
Warren,68,67,63,77,68,69,45,58,58,57,48,66,63,66,69,84,53,59,44,46,42,27,25,26
Washington,67,80,19,18,13,19,12,8,9,16,20,40,45,21,38,31,30,30,27,47,6,3,4,8
Waynesboro (ind. city),40,55,24,32,56,73,63,50,44,54,50,49,44,37,56,35,63,41,40,42,44,33,10,19
Westmoreland,35,37,31,41,39,41,41,43,46,42,42,31,54,39,33,44,37,30,35,29,22,18,13,21
Williamsburg (ind. city),90,95,153,136,66,139,130,140,121,142,192,145,170,154,185,155,137,169,155,150,82,74,55,77
Winchester (ind. city),33,41,32,40,47,45,43,51,53,48,55,65,66,66,52,47,65,52,38,29,26,12,16,10
Wise,52,62,18,3,6,7,1,4,9,14,5,43,14,21,16,6,2,11,12,1,5,1,6,4
Wythe,42,43,28,23,23,24,29,17,22,20,24,25,22,18,19,19,16,21,9,20,14,9,8,14
York,118,145,142,118,151,98,97,104,83,122,124,119,127,142,115,130,118,96,81,77,79,45,90,79
VIRGINIA UNKNOWN,17,10,16,9,23,3,4,0,0,0,,1,22,4,4,1,0,0,0,0,1,554,957,"1,010"
VIRGINIA TOTAL,"25,548","25,752","25,875","25,913","27,002","27,188","23,968","24,347","26,281","25,918","25,822","27,024","27,292","27,410","26,356","24,892","23,635","21,438","19,724","19,000","17,693","16,042","14,457","16,070"
