county,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Lamar,32,42,29,17,21,18,11,35,49,29,42,45,29,36,36,30,48,50,43,46,59,53,53,47,63,77,75,80,82,72,65,70,57,77,84,66,63,76,73
Lauderdale,268,235,234,238,202,242,155,167,160,184,204,219,219,171,200,220,236,183,203,206,198,215,225,167,192,156,161,165,190,179,146,138,148,135,131,98,119,111,103
Lawrence,16,23,23,12,13,24,17,15,20,13,16,19,18,18,11,15,15,17,22,19,25,26,26,25,19,20,18,19,22,11,12,7,8,10,15,7,8,9,6
Leake,19,23,29,21,23,34,31,19,36,36,27,52,40,26,24,28,29,36,41,31,30,37,36,42,53,34,47,47,44,47,39,26,28,28,25,41,33,39,32
Lee,165,142,165,161,132,113,98,164,168,196,191,171,180,153,144,158,169,54,53,58,48,41,43,33,32,35,157,125,157,160,163,155,138,139,106,98,110,114,116
Leflore,111,126,112,128,101,144,106,105,103,113,119,130,127,124,120,131,144,104,90,89,92,64,65,65,61,37,108,123,128,125,123,106,100,87,66,53,64,70,93
Lincoln,54,65,65,65,55,59,49,47,40,53,50,58,45,35,43,34,39,44,37,42,43,52,35,42,32,53,51,32,47,21,50,41,37,38,36,24,40,31,33
Lowndes,108,97,84,76,34,35,35,80,145,154,159,164,175,168,179,225,199,129,185,179,205,181,174,169,146,126,142,131,177,173,135,134,131,128,134,94,121,121,139
Madison,107,132,117,120,96,127,136,166,195,181,241,238,287,246,235,246,280,270,260,272,314,255,266,285,286,234,274,282,281,261,258,266,223,238,213,239,224,197,223
Marion,19,29,27,28,22,26,26,19,13,34,31,42,28,26,17,11,21,21,40,35,34,31,23,24,17,23,20,29,35,22,17,21,20,11,20,18,17,19,12
Marshall,77,61,48,69,78,71,100,87,98,125,115,118,128,122,97,90,88,4,6,10,12,2,2,2,4,4,121,83,110,115,126,129,107,97,85,63,73,68,77
Monroe,43,80,72,62,31,26,15,57,60,56,75,72,63,62,48,79,66,37,49,52,59,57,50,45,40,45,63,48,61,66,54,61,45,38,31,33,36,34,30
Montgomery,30,28,23,35,24,27,19,32,37,27,31,44,35,26,32,39,30,20,9,24,23,16,16,18,10,21,28,23,24,24,20,22,28,19,19,14,14,21,24
Neshoba,38,41,32,44,43,32,32,35,33,32,34,38,52,31,29,31,46,44,49,47,43,49,36,43,53,45,40,43,54,47,24,34,26,32,31,26,27,23,23
Newton,34,35,33,44,36,48,43,33,45,38,39,44,51,30,34,31,47,39,40,28,47,34,43,35,25,28,33,27,32,22,19,17,31,16,21,26,20,23,22
Noxubee,19,14,17,21,11,5,9,11,12,21,22,27,16,15,23,25,23,17,27,36,23,33,29,36,26,33,27,37,53,35,38,34,43,46,29,24,36,38,26
Oktibbeha,108,140,119,168,116,55,50,142,138,156,160,151,150,102,146,164,167,124,140,151,121,147,155,117,124,112,123,108,126,143,116,134,120,134,110,107,110,99,111
Panola,64,74,55,49,67,53,73,67,102,88,97,104,101,93,65,82,87,5,4,11,14,1,1,1,1,2,96,99,104,99,95,87,100,72,70,53,59,59,73
Pearl River,57,64,62,24,25,28,27,35,7,8,13,14,18,9,5,6,20,13,16,14,9,23,12,6,5,13,19,9,9,5,8,10,9,7,45,34,30,38,37
Perry,3,10,8,9,10,11,4,9,12,14,8,8,16,13,8,11,11,8,11,10,12,16,13,11,14,13,9,15,17,7,7,12,12,7,11,9,6,9,8
Pike,91,80,62,73,72,78,71,66,66,58,61,60,65,73,45,59,63,71,75,73,73,88,78,79,71,79,81,82,67,59,48,46,54,37,55,49,58,72,58
Pontotoc,22,37,22,32,26,15,12,22,23,26,29,19,19,15,17,23,29,2,3,6,13,6,10,4,12,2,34,32,30,23,28,26,39,20,11,17,13,12,19
Prentiss,35,31,36,41,43,29,31,42,50,52,49,34,21,35,22,27,25,4,9,8,6,7,10,7,10,7,28,25,30,18,20,13,18,17,18,11,10,18,15
Quitman,21,23,20,26,15,17,25,24,21,27,27,29,23,27,16,22,29,6,3,2,2,0,1,2,2,2,27,33,25,30,30,17,23,14,15,7,11,13,10
Rankin,192,191,226,219,191,233,214,241,211,227,284,307,279,277,261,234,258,279,286,272,306,332,342,324,279,256,291,257,271,268,224,230,225,229,206,196,190,192,199
Scott,37,45,46,59,57,45,52,49,47,40,56,61,65,71,63,59,69,52,73,80,65,57,72,51,68,45,48,41,61,45,40,40,45,65,42,50,51,41,53
Sharkey,16,12,13,12,16,13,12,9,12,8,11,15,11,10,14,14,14,13,9,10,12,8,10,14,11,13,11,10,14,18,5,10,6,6,8,8,4,9,7
