county,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
Tehama,155,149,148,127,116,122,123,120,125,124,100,118,90,90,91,90,92,126,92,92,35
Trinity,28,36,29,25,22,25,31,19,28,25,22,12,?,?,?,?,?,14,12,?,?
Tulare,"1,033","1,005","1,076",989,979,994,916,"1,060","1,049",405,438,344,368,382,368,325,300,313,244,187,180
Tuolumne,94,130,114,108,115,142,109,119,105,94,108,87,88,88,103,62,66,67,32,35,?
Ventura,"1,602","1,628","1,694","1,554","1,362","1,304","1,277","1,481","1,412","1,302","1,075","1,129","1,048","1,096","1,183","1,240","1,294",952,607,679,538
Yolo,448,452,470,375,346,341,340,318,268,109,138,135,136,105,127,124,108,73,68,57,65
Yuba,190,206,176,209,164,181,161,147,161,165,133,160,136,163,128,151,147,113,106,76,21
CALIFORNIA UNKNOWN,"13,100","13,900",0,"2,644","3,271",0,3,75,78,"40,716","38,395","41,820","28,366","27,272","29,928","27,899","29,431","30,530","29,998","28,670","29,648"
CALIFORNIA TOTAL,"117,110","107,499","112,990","112,310","110,295","82,579","75,209","84,381","90,040","90,953","90,946","94,602","80,647","80,069","85,843","88,466","93,542","95,101","95,279","93,253","83,485"
CALIFORNIA TOTAL (CDC),"308,564","289,987","280,180","275,739",,,,,,,,,,,,,,,,,
CALIFORNIA TOTAL (AGI),,"240,240","237,870",,,"237,220","235,670",,,,"207,800","208,430","215,500","223,180","214,190",,"191,550","181,730",,"164,190","157,350"
