county,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Grant,15,12,8,8,3,12,7,10,4,2,1,1,5,4,0,1,1,15,7,9,8,4,3,5,9,4,4,5,6,5,5,5,0,3,0,1,0,1,3,3,4,4,3
Gray,3,5,7,4,5,9,3,3,3,2,3,2,2,4,4,1,2,5,10,3,6,5,7,5,4,7,3,1,2,9,4,2,5,2,0,0,5,2,0,5,3,3,0
Greeley,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,1,0,1,1,0,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0
Greenwood,20,8,9,8,8,6,10,7,3,8,7,7,6,4,6,7,8,14,5,12,18,10,16,8,7,11,10,5,4,14,3,10,8,2,5,5,6,3,6,6,2,2,2
Hamilton,5,3,0,0,1,1,3,0,1,1,4,1,2,1,1,1,1,1,2,1,2,2,0,2,1,5,2,2,1,3,1,3,3,3,0,1,0,0,3,6,1,1,1
Harper,8,8,18,8,19,8,5,3,7,3,2,3,0,3,2,2,7,13,7,8,9,5,11,9,14,5,7,8,4,7,3,8,6,2,5,3,1,5,7,4,8,3,5
Harvey,49,55,46,84,58,52,35,30,30,27,20,23,28,13,24,30,34,58,55,46,44,59,60,41,51,41,44,54,34,42,38,39,37,25,28,18,13,18,29,35,23,27,22
Haskell,8,7,7,7,4,5,4,4,4,7,3,3,2,1,0,3,3,4,5,5,8,5,5,6,6,0,6,2,5,3,3,3,3,1,0,3,0,0,1,4,3,5,0
Hodgeman,4,1,1,3,2,4,1,2,0,0,0,0,1,0,0,0,0,3,3,1,3,2,2,1,1,2,1,1,2,2,1,1,1,0,1,0,1,2,0,0,0,1,0
Jackson,9,25,15,29,19,18,21,19,20,22,14,20,15,14,16,10,15,17,8,22,22,21,15,21,16,17,7,9,11,18,30,25,17,12,19,23,15,21,19,11,5,6,19
Jefferson,19,19,18,32,35,22,24,18,26,19,24,14,18,19,18,20,15,15,15,14,22,26,20,31,22,17,30,23,21,16,16,25,25,18,14,20,18,15,5,16,20,11,9
Jewell,5,1,9,11,3,2,2,1,0,3,0,1,0,1,1,1,2,2,2,3,4,1,3,3,2,1,3,4,0,3,2,1,2,2,0,2,0,1,1,0,0,0,1
Johnson,603,491,"1,009","1,343","1,361","1,302","1,382","1,174","1,155","1,084","1,004",978,"1,187","1,075","1,104",985,"1,264","1,299","1,228","1,168","1,259","1,197","1,183","1,195","1,187","1,308","1,306","1,358","1,376","1,235","1,403","1,388","1,286","1,195","1,175","1,051","1,031",998,933,901,846,811,810
Kearny,4,3,2,0,3,4,2,7,1,6,7,3,8,2,4,0,3,3,8,4,2,5,5,8,3,8,4,3,3,6,4,5,1,2,1,1,0,3,0,1,2,2,2
Kingman,11,10,6,15,9,7,8,6,7,4,4,5,7,2,1,5,3,9,10,15,5,5,6,6,2,3,6,5,7,8,8,6,7,0,10,7,0,1,2,4,2,4,5
Kiowa,4,3,6,7,3,1,6,2,1,1,3,0,1,0,3,1,0,2,2,6,4,6,8,4,1,1,1,0,4,5,0,2,4,0,0,0,1,1,1,0,0,2,4
Labette,26,29,32,59,38,26,38,40,45,24,14,24,30,19,20,26,26,28,30,30,26,20,22,31,35,41,22,22,20,24,25,31,13,15,22,11,6,15,19,13,9,7,13
Lane,6,9,2,1,0,2,3,2,3,0,1,0,1,2,0,1,0,4,3,2,4,4,6,5,2,1,3,4,1,2,1,2,1,1,0,1,3,0,2,2,1,0,1
Leavenworth,154,118,104,152,163,166,131,118,92,91,109,112,149,134,123,113,126,135,151,172,169,127,156,140,124,138,167,140,125,125,116,126,126,130,111,123,99,98,87,89,78,90,87
Lincoln,3,9,6,4,4,5,2,1,1,2,1,3,1,4,1,3,3,2,3,3,6,0,2,1,3,1,3,2,0,1,2,2,3,1,1,2,0,1,3,2,1,0,0
Linn,3,11,10,20,23,14,7,14,9,9,13,9,12,5,17,6,5,9,5,12,11,4,6,11,7,11,15,5,5,12,17,13,13,10,9,12,10,9,11,8,4,7,8
Logan,3,2,0,0,1,4,2,1,3,0,1,0,1,1,0,1,0,1,1,4,2,4,0,4,2,0,2,1,5,2,0,0,0,0,0,0,0,2,0,1,0,1,0
Lyon,91,75,128,135,112,114,114,95,128,76,88,63,63,55,71,79,99,106,122,115,122,93,92,91,88,72,62,81,68,68,67,58,53,54,49,50,35,40,36,32,33,32,32
Marion,14,16,11,8,17,8,8,4,5,3,10,5,5,2,2,3,10,5,14,12,14,11,14,11,17,9,12,7,7,11,10,9,8,3,8,6,3,2,6,6,4,3,7
Marshall,13,13,9,15,14,11,6,9,6,7,5,4,2,9,9,4,3,2,1,6,4,5,5,6,4,6,2,6,7,6,3,5,4,2,3,3,3,5,2,3,2,5,5
