county,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Richardson,?,?,?,0,0,?,0,0,0,0,0,0,0,8,?,?,8,?,?
Rock,?,?,?,0,0,?,0,0,0,0,0,0,0,?,?,?,?,?,?
Saline,?,?,?,0,0,?,0,0,0,0,0,0,0,10,10,14,8,7,12
Sarpy,5,0,0,0,0,1,0,0,0,0,1,5,11,186,167,183,161,194,169
Saunders,?,?,?,0,0,?,0,0,0,0,0,0,0,14,19,10,9,9,18
Scotts Bluff,?,?,?,0,0,?,0,0,0,0,0,0,0,?,?,?,?,?,?
Seward,?,?,?,0,0,?,0,0,0,0,0,0,0,5,7,5,6,15,8
Sheridan,?,?,?,0,0,?,0,0,0,0,0,0,0,?,?,?,?,?,?
Sherman,?,?,?,0,0,?,0,0,0,0,0,0,0,?,?,?,?,?,?
Sioux,?,?,?,0,0,?,0,0,0,0,0,0,0,?,?,?,?,?,?
Stanton,?,?,?,0,0,?,0,0,0,0,0,0,0,?,?,?,?,?,?
Thayer,?,?,?,0,0,?,0,0,0,0,0,0,0,?,?,5,?,6,?
Thomas,?,?,?,0,0,?,0,0,0,0,0,0,0,?,?,?,?,?,?
Thurston,?,?,?,0,0,?,0,0,0,0,0,0,0,?,5,?,?,6,?
Valley,?,?,?,0,0,?,0,0,0,0,0,0,0,?,?,?,?,?,?
Washington,?,?,?,0,0,?,0,0,0,0,0,0,0,13,8,7,9,?,11
Wayne,?,?,?,0,0,?,0,0,0,0,0,0,0,?,8,8,?,5,?
Webster,?,?,?,0,0,?,0,0,0,0,0,0,0,?,?,?,?,?,?
Wheeler,?,?,?,0,0,?,0,0,0,0,0,0,0,?,?,?,?,?,?
York,?,?,?,0,0,?,0,0,0,0,0,0,0,7,8,10,6,?,11
NEBRASKA PROTECTED,6,2,2,0,0,1,0,0,0,0,0,0,0,79,139,128,150,78,69
NEBRASKA UNKNOWN,"3,470","3,328","3,176","3,368","3,071","2,695","2,558","2,198","2,540","2,282","2,100","2,067","1,791",1,2,0,76,3,0
NEBRASKA TOTAL,"3,505","3,352","3,180","3,368","3,073","2,705","2,564","2,204","2,542","2,283","2,192","2,142","2,047","1,992","1,996","1,775","1,691","1,751","1,832"
