"Notes"	"State"	"State Code"	"County"	"County Code"	Deaths	Births	Death Rate
	"Utah"	"49"	"Utah County, UT"	"49049"	61	12020	5.07
	"Utah"	"49"	"Unidentified Counties, UT"	"49999"	103	21988	4.68
	"Vermont"	"50"	"Unidentified Counties, VT"	"50999"	26	6223	4.18
	"Virginia"	"51"	"Chesterfield County, VA"	"51041"	21	3682	5.70
	"Virginia"	"51"	"Fairfax County, VA"	"51059"	70	15180	4.61
	"Virginia"	"51"	"Henrico County, VA"	"51087"	21	3888	5.40
	"Virginia"	"51"	"Loudoun County, VA"	"51107"	Missing County	Missing County	Missing County
	"Virginia"	"51"	"Prince William County, VA"	"51153"	46	6651	6.92
	"Virginia"	"51"	"Virginia Beach city, VA"	"51810"	43	6153	6.99
	"Virginia"	"51"	"Unidentified Counties, VA"	"51999"	501	67448	7.43
	"Washington"	"53"	"Clark County, WA"	"53011"	35	5485	6.38
	"Washington"	"53"	"King County, WA"	"53033"	104	24534	4.24
	"Washington"	"53"	"Kitsap County, WA"	"53035"	Missing County	Missing County	Missing County
	"Washington"	"53"	"Pierce County, WA"	"53053"	49	10697	4.58
	"Washington"	"53"	"Snohomish County, WA"	"53061"	37	9001	4.11
	"Washington"	"53"	"Spokane County, WA"	"53063"	28	5790	4.84
	"Washington"	"53"	"Thurston County, WA"	"53067"	Missing County	Missing County	Missing County
	"Washington"	"53"	"Unidentified Counties, WA"	"53999"	135	31032	4.35
	"West Virginia"	"54"	"Unidentified Counties, WV"	"54999"	150	20470	7.33
	"Wisconsin"	"55"	"Dane County, WI"	"55025"	31	6059	5.12
	"Wisconsin"	"55"	"Milwaukee County, WI"	"55079"	119	14325	8.31
	"Wisconsin"	"55"	"Waukesha County, WI"	"55133"	17	3891	4.37 (Unreliable)
	"Wisconsin"	"55"	"Unidentified Counties, WI"	"55999"	233	44212	5.27
	"Wyoming"	"56"	"Unidentified Counties, WY"	"56999"	52	7556	6.88
"---"
"Dataset: Linked Birth / Infant Death Records, 2007-2018"
"Query Parameters:"
"Year of Death: 2010"
"Group By: State; County"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 1,000"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/lbd.html for more information."
"---"
"Query Date: Dec 14, 2021 10:21:18 PM"
"---"
"Suggested Citation: United States Department of Health and Human Services (US DHHS), Centers of Disease Control and Prevention"
"(CDC), National Center for Health Statistics (NCHS), Division of Vital Statistics (DVS). Linked Birth / Infant Death Records"
"2007-2018, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program, on CDC WONDER On-line Database. Accessed at http://wonder.cdc.gov/lbd-current.html on Dec 14, 2021 10:21:18 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. 'Suppressed' appears instead of death, birth, and rate values when the death value represents 0-9 sub-national events. This"
"is because the data do not meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/lbd.html#Assurance of Confidentiality."
"2. 'Unreliable' appears for rates when there are fewer than 20 deaths in the numerator. This is because the figure does not meet"
"the NCHS standard of reliability or precision. More information: http://wonder.cdc.gov/wonder/help/lbd.html#Unreliable."
"3. 'Missing County' appears when county data is not available for a certain year. This occurs because the county did not meet"
"minimum population standards and thus the data for the county was recoded to the ""Unidentified Counties"" category for the"
"state of the county. More information: http://wonder.cdc.gov/wonder/help/lbd.html#Missing."
"4. Infant deaths are weighted so numbers may not exactly add to totals due to rounding. More information:"
"http://wonder.cdc.gov/wonder/help/lbd.html#WeightFactors-Totals."
"5. Note that there may be slight differences in the number of infant deaths when comparing the Linked Birth / Death Records to"
"the other vital statistics. More information: http://wonder.cdc.gov/wonder/help/lbd.html#Weight Factors."
"6. County-level data are shown only for counties with populations of 250,000 persons or more. Data for all counties with fewer"
"than 250,000 persons within a state are combined together under the label ""Unidentified Counties."""
"7. Dade county, Florida (FIPS code 12025) was renamed Miami-Dade County (FIPS code 12086) effective November 13, 1997. The area"
"is coded to Miami-Dade (12086) after 2002 and Dade (12025) for earlier years in other linked-birth datasets."
"8. The independent city of Baltimore, Maryland (FIPS code 24510) is reported separately from Baltimore county (FIPS code 24005)."
"9. The independent city of St. Louis, Missouri (FIPS code 29510) is reported separately from St. Louis county (FIPS code 29189)."
"10. Bronx, New York (FIPS code 36005) represents Bronx Borough, New York City."
"11. Kings county, New York (FIPS code 36047) represents Brooklyn Borough, New York City."
"12. New York county, New York (FIPS code 36061) represents Manhattan Borough, New York City."
"13. Queens, New York (FIPS code 36081) represents Queens Borough, New York City."
"14. Richmond county, New York (FIPS code 36085) represents Staten Island Borough, New York City."
"15. As a result of population changes the following counties do not have data available for all years.<br/> Before 2014 the data"
"for the following counties was recoded to the ""Unidentified Counties"" category within the state of the county because they did"
"not meet minimum population standards. Pinal County, AZ (04021); Marin County, CA (06041); Merced County, CA (06047); Placer"
"County, CA (06061); San Luis Obispo County, CA (06079); Douglas County, CO (08035); Weld County, CO (08123); Lake County, FL"
"(12069); Leon County, FL (12073); Osceola County, FL (12097); St. Lucie County, FL (12111); Chatham County, GA (13051); Clayton"
"County, GA (13063); Hamilton County, IN (18057); Howard County, MD (24027); Kalamazoo County, MI (26077); Ottawa County, MI"
"(26139); Greene County, MO (29077); Durham County, NC (37063); Cleveland County, OK (40027); Horry County, SC (45051); Lexington"
"County, SC (45063); Rutherford County, TN (47149); Bell County, TX (48027); Brazoria County, TX (48039); Lubbock County, TX"
"(48303); Webb County, TX (48479); Williamson County, TX (48491); Davis County, UT (49011); Loudoun County, VA (51107); Kitsap"
"County, WA (53035); Thurston County, WA (53067). <br/> After 2013 the data for the following counties was recoded to the"
"""Unidentified Counties"" category within the state of the county because they did not meet minimum population standards. Hinds"
"County, MS (28049); Mahoning County, OH (39099)."
