"Notes"	"State"	"State Code"	"County"	"County Code"	Deaths	Births	Death Rate
	"New York"	"36"	"Onondaga County, NY"	"36067"	25	5352	4.67
	"New York"	"36"	"Orange County, NY"	"36071"	42	5171	8.12
	"New York"	"36"	"Queens County, NY"	"36081"	126	30573	4.12
	"New York"	"36"	"Richmond County, NY"	"36085"	37	5665	6.53
	"New York"	"36"	"Rockland County, NY"	"36087"	21	4896	4.29
	"New York"	"36"	"Suffolk County, NY"	"36103"	75	16807	4.46
	"New York"	"36"	"Westchester County, NY"	"36119"	44	11141	3.95
	"New York"	"36"	"Unidentified Counties, NY"	"36999"	235	41845	5.62
	"North Carolina"	"37"	"Cumberland County, NC"	"37051"	51	5839	8.73
	"North Carolina"	"37"	"Durham County, NC"	"37063"	Missing County	Missing County	Missing County
	"North Carolina"	"37"	"Forsyth County, NC"	"37067"	34	4688	7.25
	"North Carolina"	"37"	"Guilford County, NC"	"37081"	57	6005	9.49
